window_start,window_end,raw_prediction,consensus_result,eq
2026-03-12 10:44:02.783,2026-03-12 10:44:17.280,positive,positive,E1
2026-03-12 10:44:17.280,2026-03-12 10:44:33.260,neutral,positive,E1
2026-03-12 10:44:33.260,2026-03-12 10:44:48.413,neutral,negative,E1
2026-03-12 10:44:48.413,2026-03-12 10:45:04.275,neutral,negative,E1
2026-03-12 10:45:04.275,2026-03-12 10:45:19.327,neutral,negative,E1
2026-03-12 10:45:22.782,2026-03-12 10:45:37.243,neutral,negative,E2
2026-03-12 10:45:37.243,2026-03-12 10:45:53.335,neutral,negative,E2
2026-03-12 10:45:53.335,2026-03-12 10:46:08.314,neutral,negative,E2
2026-03-12 10:46:08.314,2026-03-12 10:46:24.351,neutral,negative,E2
2026-03-12 10:46:24.351,2026-03-12 10:46:39.307,neutral,negative,E2
2026-03-12 10:46:39.783,2026-03-12 10:46:54.457,neutral,negative,E7
2026-03-12 10:46:54.457,2026-03-12 10:47:10.335,neutral,negative,E7
2026-03-12 10:47:10.335,2026-03-12 10:47:25.294,neutral,negative,E7
2026-03-12 10:47:25.294,2026-03-12 10:47:41.358,neutral,negative,E7
2026-03-12 10:47:50.783,2026-03-12 10:48:05.317,neutral,negative,E15
2026-03-12 10:48:05.317,2026-03-12 10:48:21.295,neutral,negative,E15
2026-03-12 10:48:21.295,2026-03-12 10:48:36.351,neutral,negative,E15
2026-03-12 10:48:36.351,2026-03-12 10:48:51.297,neutral,negative,E15
2026-03-12 10:48:57.783,2026-03-12 10:49:13.312,neutral,negative,E16
2026-03-12 10:49:13.312,2026-03-12 10:49:28.265,neutral,negative,E16
2026-03-12 10:49:28.265,2026-03-12 10:49:44.340,neutral,negative,E16
2026-03-12 10:49:44.340,2026-03-12 10:49:59.295,neutral,negative,E16
2026-03-12 10:50:04.789,2026-03-12 10:50:20.282,neutral,negative,E1
2026-03-12 10:50:20.282,2026-03-12 10:50:35.334,neutral,negative,E1
2026-03-12 10:50:35.334,2026-03-12 10:50:50.287,neutral,negative,E1
2026-03-12 10:50:50.287,2026-03-12 10:51:06.363,neutral,negative,E1
2026-03-12 10:51:06.363,2026-03-12 10:51:21.333,neutral,negative,E1
2026-03-12 10:51:22.782,2026-03-12 10:51:38.313,neutral,negative,E2
2026-03-12 10:51:38.313,2026-03-12 10:51:53.265,neutral,negative,E2
2026-03-12 10:51:53.265,2026-03-12 10:52:09.342,neutral,negative,E2
2026-03-12 10:52:09.342,2026-03-12 10:52:24.294,neutral,negative,E2
2026-03-12 10:52:27.782,2026-03-12 10:52:42.310,neutral,negative,E7
2026-03-12 10:52:42.310,2026-03-12 10:52:58.321,neutral,negative,E7
2026-03-12 10:52:58.321,2026-03-12 10:53:13.351,neutral,negative,E7
2026-03-12 10:53:13.351,2026-03-12 10:53:28.289,neutral,negative,E7
2026-03-12 10:53:39.782,2026-03-12 10:53:54.302,neutral,negative,E15
2026-03-12 10:53:54.302,2026-03-12 10:54:09.288,neutral,negative,E15
2026-03-12 10:54:09.288,2026-03-12 10:54:25.332,neutral,negative,E15
2026-03-12 10:54:25.332,2026-03-12 10:54:40.277,neutral,negative,E15
2026-03-12 10:54:43.784,2026-03-12 10:54:59.332,neutral,negative,E16
2026-03-12 10:54:59.332,2026-03-12 10:55:14.297,positive,positive,E16
2026-03-12 10:55:14.297,2026-03-12 10:55:29.328,neutral,negative,E16
2026-03-12 10:55:29.328,2026-03-12 10:55:46.328,neutral,negative,E16
