window_start,window_end,raw_prediction,consensus_result,eq
2026-03-12 09:43:31.329,2026-03-12 09:43:45.925,positive,positive,E1
2026-03-12 09:43:45.925,2026-03-12 09:44:01.893,positive,positive,E1
2026-03-12 09:44:01.893,2026-03-12 09:44:16.842,positive,positive,E1
2026-03-12 09:44:16.842,2026-03-12 09:44:32.822,positive,positive,E1
2026-03-12 09:44:39.334,2026-03-12 09:44:53.807,neutral,negative,E2
2026-03-12 09:44:53.807,2026-03-12 09:45:09.782,positive,positive,E2
2026-03-12 09:45:09.782,2026-03-12 09:45:24.838,neutral,negative,E2
2026-03-12 09:45:43.327,2026-03-12 09:45:57.813,neutral,negative,E7
2026-03-12 09:45:57.813,2026-03-12 09:46:12.866,positive,positive,E7
2026-03-12 09:46:12.866,2026-03-12 09:46:28.836,neutral,negative,E7
2026-03-12 09:46:28.836,2026-03-12 09:46:43.888,positive,positive,E7
2026-03-12 09:46:48.328,2026-03-12 09:47:03.858,positive,positive,E15
2026-03-12 09:47:03.858,2026-03-12 09:47:18.807,positive,positive,E15
2026-03-12 09:47:18.807,2026-03-12 09:47:34.781,neutral,positive,E15
2026-03-12 09:47:34.781,2026-03-12 09:47:49.936,positive,positive,E15
2026-03-12 09:47:51.328,2026-03-12 09:48:06.839,neutral,negative,E16
2026-03-12 09:48:06.839,2026-03-12 09:48:21.897,neutral,negative,E16
2026-03-12 09:48:21.897,2026-03-12 09:48:36.837,neutral,negative,E16
2026-03-12 09:48:36.837,2026-03-12 09:48:52.914,positive,negative,E16
2026-03-12 09:49:05.327,2026-03-12 09:49:19.845,positive,positive,E7
2026-03-12 09:49:19.845,2026-03-12 09:49:36.842,positive,positive,E7
2026-03-12 09:49:36.842,2026-03-12 09:50:07.869,positive,positive,E7
2026-03-12 09:50:10.328,2026-03-12 09:50:24.973,neutral,negative,E1
2026-03-12 09:50:24.973,2026-03-12 09:50:40.845,positive,positive,E1
2026-03-12 09:50:40.845,2026-03-12 09:51:10.846,positive,positive,E1
2026-03-12 09:51:11.326,2026-03-12 09:51:26.819,neutral,negative,E2
2026-03-12 09:51:26.819,2026-03-12 09:51:41.874,positive,positive,E2
2026-03-12 09:51:41.874,2026-03-12 09:51:57.849,neutral,negative,E2
2026-03-12 09:51:57.849,2026-03-12 09:52:12.800,positive,positive,E2
