window_start,window_end,raw_prediction,consensus_result,eq,song
2026-03-13 14:10:50.483,2026-03-13 14:11:16.234,neutral,negative,E1,exp1
2026-03-13 14:11:16.234,2026-03-13 14:11:30.273,neutral,negative,E1,exp1
2026-03-13 14:11:30.273,2026-03-13 14:11:45.417,neutral,negative,E1,exp1
2026-03-13 14:11:45.417,2026-03-13 14:12:01.292,positive,negative,E1,exp1
2026-03-13 14:12:01.292,2026-03-13 14:12:16.240,neutral,negative,E1,exp1
2026-03-13 14:12:16.240,2026-03-13 14:12:31.216,neutral,negative,E1,exp1
2026-03-13 14:12:31.216,2026-03-13 14:12:46.349,neutral,negative,E1,exp1
2026-03-13 14:12:51.482,2026-03-13 14:13:21.265,positive,positive,E2,exp1
2026-03-13 14:13:21.265,2026-03-13 14:13:31.310,neutral,positive,E2,exp1
2026-03-13 14:13:31.310,2026-03-13 14:13:46.251,neutral,negative,E2,exp1
2026-03-13 14:13:46.251,2026-03-13 14:14:02.334,neutral,negative,E2,exp1
2026-03-13 14:14:02.334,2026-03-13 14:14:17.279,neutral,negative,E2,exp1
2026-03-13 14:14:17.279,2026-03-13 14:14:32.254,neutral,negative,E2,exp1
2026-03-13 14:14:32.254,2026-03-13 14:14:49.252,neutral,negative,E2,exp1
2026-03-13 14:14:49.252,2026-03-13 14:15:07.262,positive,negative,E2,exp1

