window_start,window_end,raw_prediction,consensus_result,eq,song
2026-03-13 15:36:57.454,2026-03-13 15:37:11.424,neutral,negative,E1,實驗歌曲
2026-03-13 15:37:12.451,2026-03-13 15:37:27.583,neutral,negative,E1,實驗歌曲
2026-03-13 15:37:28.450,2026-03-13 15:37:43.397,neutral,negative,E1,實驗歌曲
2026-03-13 15:37:44.451,2026-03-13 15:37:58.343,neutral,negative,E1,實驗歌曲
2026-03-13 15:37:59.451,2026-03-13 15:38:15.349,neutral,negative,E1,實驗歌曲
2026-03-13 15:38:16.450,2026-03-13 15:38:30.399,positive,negative,"E1,E2",實驗歌曲
2026-03-13 15:38:31.451,2026-03-13 15:38:46.392,positive,negative,E2,實驗歌曲
2026-03-13 15:38:47.451,2026-03-13 15:39:01.318,positive,positive,E2,實驗歌曲
2026-03-13 15:39:02.450,2026-03-13 15:39:18.333,neutral,positive,E2,實驗歌曲
2026-03-13 15:39:19.451,2026-03-13 15:39:33.372,positive,positive,E2,實驗歌曲
2026-03-13 15:39:34.451,2026-03-13 15:39:49.371,positive,positive,E2,實驗歌曲
