window_start,window_end,raw_prediction,consensus_result,eq,song
2026-03-13 11:01:11.994,2026-03-13 11:01:37.420,neutral,negative,E1,exp1
2026-03-13 11:01:37.420,2026-03-13 11:01:51.415,positive,positive,E1,exp1
2026-03-13 11:01:51.415,2026-03-13 11:02:07.389,neutral,negative,E1,exp1
2026-03-13 11:02:12.993,2026-03-13 11:02:37.497,positive,positive,E2,exp1
2026-03-13 11:02:37.497,2026-03-13 11:02:52.452,neutral,positive,E2,exp1
2026-03-13 11:02:52.452,2026-03-13 11:03:07.396,neutral,negative,E2,exp1
2026-03-13 11:03:07.396,2026-03-13 11:03:23.470,positive,positive,E2,exp1
2026-03-13 11:03:24.993,2026-03-13 11:03:49.379,neutral,negative,E15,exp1
2026-03-13 11:03:49.379,2026-03-13 11:04:04.429,neutral,negative,E15,exp1
2026-03-13 11:04:04.429,2026-03-13 11:04:19.382,neutral,negative,E15,exp1
2026-03-13 11:04:24.992,2026-03-13 11:04:49.383,positive,positive,E2,exp1
2026-03-13 11:04:49.383,2026-03-13 11:05:05.374,positive,positive,E2,exp1
2026-03-13 11:05:05.374,2026-03-13 11:05:19.407,positive,positive,E2,exp1
2026-03-13 11:05:19.993,2026-03-13 11:05:47.446,positive,positive,E1,exp1
2026-03-13 11:05:47.446,2026-03-13 11:05:59.629,positive,positive,E1,exp1
2026-03-13 11:05:59.629,2026-03-13 11:06:15.402,neutral,positive,E1,exp1
